! Name = "X", Data Type="DOUBLE", Z Domain="OTHER", Working Datum="0.0"
! Name = "Y", Data Type="DOUBLE", Z Domain="OTHER", Working Datum="0.0"
! Name = "Delta-Z", Data Type="DOUBLE", Z Domain="OTHER", Working Datum="0.0"
X,Y,Delta-Z
"460868.5625","6788227.5","8.07763671875"
"458170.46875","6783736","2.99755859375"
"457671","6786962","0.8992919921875"
"460535","6784632","-7.43994140625"
"455619.71875","6784099","18.92822265625"
"457816.25","6782777.5","4.9791259765625"
"457001.78125","6781766","-6.6884765625"
"457941.53125","6785055","18.76904296875"
"455548.6875","6784434","10.5296630859375"
"457600.65625","6788227.5","-5.33935546875"
"459600.375","6788427","3.329345703125"
"460244.96875","6787530","13.765625"
"457959.90625","6783194.5","-11.697509765625"
"456638.1875","6781618","-9.779052734375"
"457999.53125","6787025.5","3.47509765625"
"458023.75","6786722.5","6.0391845703125"
"459532.65625","6784823","7.9249267578125"
"460697.09375","6786868","6.5633544921875"
"455669.65625","6782657","1.0826416015625"
"455976.1875","6782917","-2.59619140625"
"460813.9375","6787391","9.96435546875"
"456502.28125","6783947","20.7196044921875"
"458599.21875","6790338.5","-0.3065185546875"
"456915.28125","6786912","-9.018310546875"
"455634.09375","6782175.5","-8.175048828125"
"457277.59375","6781887.5","-20.2725830078125"
"455503.15625","6780571","-6.7626953125"
"460429.21875","6785644","12.2099609375"
"456453.09375","6785789.5","-5.33642578125"
"454089.15625","6785290.5","-1.2406005859375"
"459168.90625","6786116","16.5716552734375"
"458899.3125","6785012","23.8060302734375"
"454907.8125","6781521.5","1.217529296875"
"457827.09375","6783853","3.6357421875"
"456765.84375","6783006","9.100341796875"
"462416.65625","6785487.5","21.8675537109375"
"458636.65625","6787739","-1.64794921875"
"457751.40625","6782053.5","-2.005615234375"
"457819","6785854.5","13.6402587890625"
"456797","6783708.5","9.8619384765625"
"458510.625","6782797.5","5.9490966796875"
"457817.71875","6781633.5","1.1925048828125"
"453779.90625","6785458","9.1492919921875"
"458556.625","6786451.5","14.6058349609375"
"457863.96875","6784799.5","24.1859130859375"
"454870.9375","6785578","-21.307861328125"
"454677.84375","6782220","-4.056396484375"
"451888.96875","6780818","22.7042236328125"
"456567.875","6785241","4.4853515625"
"455290.65625","6783362","-6.5440673828125"
"454948.25","6783889","-0.2921142578125"
"456748.34375","6782554.5","8.25244140625"
"456430.375","6782774.5","4.2022705078125"
"461521.0625","6788829.5","-21.0926513671875"
"456749.03125","6783763","12.79638671875"
"460278.875","6785440.5","9.1239013671875"
"454244.9375","6782932","8.7882080078125"
"455611.15625","6786289.5","-13.2955322265625"
"461574.9375","6787191","6.4488525390625"
"457465.125","6785679","10.9210205078125"
"457856.25","6782504","13.638427734375"
"460105.78125","6783935","-8.844482421875"
"460717.84375","6785967","5.803955078125"
"459423.40625","6782676","7.0283203125"
"454977.0625","6783871","1.0048828125"
"456821.1875","6784071.5","16.6083984375"
"462427.375","6787166","14.130126953125"
"460015.375","6788099","4.0897216796875"
"456630.21875","6783285.5","11.5628662109375"
"457920.375","6786583.5","2.9791259765625"
"456420.1875","6785832","-0.6988525390625"
"456937.0625","6783913.5","8.3673095703125"
"460009.40625","6789175","4.431884765625"
"461492.875","6787129.5","8.5455322265625"
